GeoName,Description,2017,2018,2019
Vermont,Gross operating surplus (millions of dollars),10376.8,10421,10853.2
Vermont,Taxes on production and imports (TOPI) less subsides (millions of dollars),3156.6,3282.4,3390.1
Vermont, Taxes on production and imports (TOPI) (millions of dollars),3243.8,3376.2,3486.1
Vermont, Subsidies (millions of dollars),-87.2,-93.8,-96
Virginia,Real GDP (millions of chained 2012 dollars)  ,466724.8,477819.8,487251.6
Virginia,Chain-type quantity indexes for real GDP,104.653,107.141,109.256
Virginia,Current-dollar GDP (millions of current dollars),509892.8,531757.1,554305.8
Virginia,Compensation (millions of dollars),295674.4,307153.9,319622.9
Virginia,Gross operating surplus (millions of dollars),182237.8,190659.8,198374.5
Virginia,Taxes on production and imports (TOPI) less subsides (millions of dollars),31980.6,33943.4,36308.5
Virginia, Taxes on production and imports (TOPI) (millions of dollars),33125.3,35072.6,37513.4
Virginia, Subsidies (millions of dollars),-1144.7,-1129.3,-1204.9
Washington,Real GDP (millions of chained 2012 dollars)  ,482824.1,515629.9,535980.5
Washington,Chain-type quantity indexes for real GDP,120.546,128.737,133.818
Washington,Current-dollar GDP (millions of current dollars),519942.9,564480.7,597873.8
Washington,Compensation (millions of dollars),271223.9,294811.2,313859.2
Washington,Gross operating surplus (millions of dollars),207658.7,225366.3,235792.3
Washington,Taxes on production and imports (TOPI) less subsides (millions of dollars),41060.3,44303.2,48222.2
Washington, Taxes on production and imports (TOPI) (millions of dollars),42599.8,45895.2,49883.9
Washington, Subsidies (millions of dollars),-1539.5,-1592,-1661.7
West Virginia,Real GDP (millions of chained 2012 dollars)  ,71459.4,73114.2,72542.9
West Virginia,Chain-type quantity indexes for real GDP,101.617,103.97,103.158
West Virginia,Current-dollar GDP (millions of current dollars),74799.5,79044.8,79139.7
West Virginia,Compensation (millions of dollars),39148.5,42032.2,42160.8
West Virginia,Gross operating surplus (millions of dollars),29981.3,30881.6,30844.4
West Virginia,Taxes on production and imports (TOPI) less subsides (millions of dollars),5669.7,6131,6134.6
West Virginia, Taxes on production and imports (TOPI) (millions of dollars),5800.7,6257.7,6268.2
West Virginia, Subsidies (millions of dollars),-131,-126.8,-133.6
Wisconsin,Real GDP (millions of chained 2012 dollars)  ,292311.2,299416,303891.2
Wisconsin,Chain-type quantity indexes for real GDP,105.487,108.051,109.666
Wisconsin,Current-dollar GDP (millions of current dollars),318364.2,332263.5,344724.8
Wisconsin,Compensation (millions of dollars),181447.6,190258.1,196674.7
Wisconsin,Gross operating surplus (millions of dollars),115808.6,120256.5,125860.1
Wisconsin,Taxes on production and imports (TOPI) less subsides (millions of dollars),21108,21748.9,22190
Wisconsin, Taxes on production and imports (TOPI) (millions of dollars),21899.7,22672.3,23317.2
Wisconsin, Subsidies (millions of dollars),-791.7,-923.4,-1127.2
Wyoming,Real GDP (millions of chained 2012 dollars)  ,37429.1,37987.9,38628.4
Wyoming,Chain-type quantity indexes for real GDP,96.329,97.767,99.416
Wyoming,Current-dollar GDP (millions of current dollars),36863.7,39032.3,39600.8
Wyoming,Compensation (millions of dollars),17661.5,18518.5,19245.8
Wyoming,Gross operating surplus (millions of dollars),15976.4,17122.3,16978.8
Wyoming,Taxes on production and imports (TOPI) less subsides (millions of dollars),3225.8,3391.5,3376.2
Wyoming, Taxes on production and imports (TOPI) (millions of dollars),3320.6,3481,3471.9
Wyoming, Subsidies (millions of dollars),-94.7,-89.5,-95.7
